"year","waste_code","type_of_waste","received_all_waste_kg","received_without_assessment_kg","total_disposed_waste_kg","hazardous_waste_kg","non_hazardous_waste_kg","inert_waste_kg","construction_waste_kg","cover_waste_kg","waste_category","received_all_waste_t","received_without_assessment_t","total_disposed_waste_t","hazardous_waste_t","non_hazardous_waste_t","inert_waste_t","construction_waste_t","cover_waste_t"
2022,"17 02 01","Construction Wood Waste (17 02 01)",5920,0,5920,0,5920,0,0,0,"Construction/Demolition Waste",5.92,0,5.92,0,5.92,0,0,0
2022,"20 03 07","Bulky Municipal Waste (20 03 07)",12426544,13542,12426544,0,12426544,0,0,0,"Municipal Waste",12426.544,13.542,12426.544,0,12426.544,0,0,0
