"Leto","Poročilo","Statistična regija","Prevzeta IV (16 01 04*) število","Prevzeta IV (16 01 04*) masa kg","Materiali in deli iz razstavljanja IV, oddani v obdelavo … od tega v ponovno uporabo kg","Materiali in deli iz razstavljanja IV, oddani v obdelavo … od tega v recikliranje kg","Materiali in deli iz razstavljanja IV, oddani v obdelavo … od tega v druge postopke predelave kg","Materiali in deli iz razstavljanja IV, oddani v obdelavo … od tega v odstranjevanje kg","Razstavljena IV (16 01 04*) oddana v drobljenje število","Razstavljena IV (16 01 04*) oddana v drobljenje masa kg"
2023,"ODP-obdelava","GORENJSKA",407,435429,29304,140910,0,0,207,204936
2023,"ODP-obdelava","GORIŠKA",922,1003915,139074,275496,15160,0,925,614528
2023,"ODP-obdelava","JUGOVZHODNA SLOVENIJA",593,717382,27522,91772,0,0,490,516437
2023,"ODP-obdelava","OBALNO-KRAŠKA",575,630783,26247,237961,4197,7755,387,318776
2023,"ODP-obdelava","OSREDNJESLOVENSKA",956,1065417,43206,547753,10393,31382,846,805255
2023,"ODP-obdelava","PODRAVSKA",879,978352,36150,170806,114150,24840,857,829374
2023,"ODP-obdelava","POSAVSKA",462,495280,80705,421024,27972,15740,477,349308
2023,"ODP-obdelava","PRIMORSKO-NOTRANJSKA",584,647621,65200,106790,183,0,355,389360
2023,"ODP-obdelava","SAVINJSKA",192,212167,9870,0,0,0,166,198633
