"Leto","Poročilo","Odlagališče","deposited_waste_code","Naziv odloženih odpadkov","Odloženi odpadki glede na občino izvora (kg)","Šifra občine 1","Naziv občine"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",400,7,"BRDA"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",345,44,"KANAL"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",295,75,"MIREN-KOSTANJEVICA"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",3764,84,"NOVA GORICA"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",20025,130,"TREBNJE"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",3817,199,"MOKRONOG-TREBELNO"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",176,201,"RENČE-VOGRSKO"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",3163,211,"ŠENTRUPERT"
2023,"ODP-obdelava","GLOBOKO","20 03 07","Kosovni odpadki",3115,212,"MIRNA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",120890,1,"AJDOVŠČINA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",46251,3,"BLED"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",135980,4,"BOHINJ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",1440,8,"BREZOVICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",1200052,9,"BREŽICE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",1640,11,"CELJE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",734460,13,"CERKNICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",1560,14,"CERKNO"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",83944,17,"ČRNOMELJ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",153,25,"DRAVOGRAD"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",2533,29,"GORNJA RADGONA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",4800,32,"GROSUPLJE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",360,34,"HRASTNIK"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",477210,38,"ILIRSKA BISTRICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",247080,41,"JESENICE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",755000,43,"KAMNIK"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",581300,48,"KOČEVJE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",588465,50,"KOPER"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",304,52,"KRANJ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",448187,58,"LENART"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",279721,60,"LITIJA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",24378,61,"LJUBLJANA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",83,63,"LJUTOMER"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",800,64,"LOGATEC"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",2358,70,"MARIBOR"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",34115,73,"METLIKA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",148,80,"MURSKA SOBOTA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",1722286,84,"NOVA GORICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",98162,85,"NOVO MESTO"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",5320,88,"OSILNICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",2243273,96,"PTUJ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",3264,100,"RADENCI"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",423130,102,"RADOVLJICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",35,108,"RUŠE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",26730,109,"SEMIČ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",49570,110,"SEVNICA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",124660,111,"SEŽANA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",133,116,"SVETI JURIJ OB ŠČAVNICI"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",21858,118,"ŠENTILJ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",29741,119,"ŠENTJERNEJ"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",8888,121,"ŠKOCJAN"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",186668,122,"ŠKOFJA LOKA"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",262770,128,"TOLMIN"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",4920,129,"TRBOVLJE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",12520,130,"TREBNJE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",120,133,"VELENJE"
2023,"ODP-obdelava","LESKOVEC - novo","20 03 07","Kosovni odpadki",2753,137,"VITANJE"
