"year","name_of_municipality","number_of_households_in_municipality","number_of_households_composting","percentage_of_households_composting"
2023,"AJDOVŠČINA",7379,1752,23.74
2023,"BELTINCI",3007,2248,74.76
2023,"BLED",3395,470,13.84
2023,"BOHINJ",2257,1590,70.45
2023,"BOROVNICA",1692,405,23.94
2023,"BOVEC",1532,43,2.81
2023,"BRDA",2060,247,11.99
2023,"BREZOVICA",4471,1797,40.19
2023,"BREŽICE",10202,7928,77.71
2023,"TIŠINA",1507,1358,90.11
2023,"CELJE",22893,10060,43.94
2023,"CERKLJE NA GORENJSKEM",2553,1500,58.75
2023,"CERKNICA",4504,3530,78.37
2023,"CERKNO",1710,724,42.34
2023,"ČRENŠOVCI",1407,1261,89.62
2023,"ČRNA NA KOROŠKEM",1352,624,46.15
2023,"ČRNOMELJ",5646,4904,86.86
2023,"DESTRNIK",1019,777,76.25
2023,"DIVAČA",1837,41,2.23
2023,"DOBREPOLJE",1366,1182,86.53
2023,"DOBROVA-POLHOV GRADEC",2655,2217,83.5
2023,"DOL PRI LJUBLJANI",2279,1464,64.24
2023,"DORNAVA",1028,661,64.3
2023,"DRAVOGRAD",3534,2033,57.53
2023,"DUPLEK",2798,1334,47.68
2023,"GORENJA VAS-POLJANE",2320,2258,97.33
2023,"GORIŠNICA",1559,847,54.33
2023,"GORNJA RADGONA",3471,1984,57.16
2023,"GORNJI PETROVCI",829,786,94.81
2023,"GROSUPLJE",7942,5427,68.33
2023,"ŠALOVCI",561,544,96.97
2023,"HRASTNIK",4020,1780,44.28
2023,"HRPELJE-KOZINA",1989,66,3.32
2023,"IDRIJA",4637,1246,26.87
2023,"IG",2737,1924,70.3
2023,"ILIRSKA BISTRICA",5403,0,0
2023,"IVANČNA GORICA",6425,5236,81.49
2023,"IZOLA",7398,334,4.51
2023,"JESENICE",9343,2354,25.2
2023,"JURŠINCI",896,691,77.12
2023,"KAMNIK",11348,2768,24.39
2023,"KANAL",2168,210,9.69
2023,"KIDRIČEVO",2559,1261,49.28
2023,"KOBARID",1705,52,3.05
2023,"KOBILJE",211,208,98.58
2023,"KOČEVJE",6487,6487,100
2023,"KOMEN",1423,78,5.48
2023,"KOPER",21065,3076,14.6
2023,"KOZJE",1269,1215,95.74
2023,"KRANJ",22752,4095,18
2023,"KRANJSKA GORA",3037,2871,94.53
2023,"KUNGOTA",2034,1162,57.13
2023,"KUZMA",594,545,91.75
2023,"LAŠKO",5528,668,12.08
2023,"LENART",3118,2179,69.88
2023,"LENDAVA",4742,1160,24.46
2023,"LITIJA",5985,4060,67.84
2023,"LJUBLJANA",130575,13455,10.3
2023,"LJUTOMER",4491,3265,72.7
2023,"LOGATEC",1352,2089,154.51
2023,"LOŠKA DOLINA",1531,1315,85.89
2023,"LOŠKI POTOK",703,660,93.88
2023,"MAJŠPERK",1729,959,55.47
2023,"MARIBOR",53605,6019,11.23
2023,"MEDVODE",6293,3171,50.39
2023,"MEŽICA",1632,501,30.7
2023,"MIREN-KOSTANJEVICA",1906,313,16.42
2023,"MISLINJA",1813,1214,66.96
2023,"MORAVSKE TOPLICE",2377,2122,89.27
2023,"MOZIRJE",1657,1027,61.98
2023,"MURSKA SOBOTA",7980,2138,26.79
2023,"MUTA",1419,812,57.22
2023,"NAKLO",1905,857,44.99
2023,"NOVA GORICA",13168,1090,8.28
2023,"NOVO MESTO",14687,7982,54.35
2023,"ODRANCI",504,426,84.52
2023,"ORMOŽ",4770,3670,76.94
2023,"OSILNICA",186,150,80.65
2023,"PESNICA",3068,1844,60.1
2023,"PIRAN",8422,1233,14.64
2023,"PIVKA",2437,576,23.64
2023,"PODČETRTEK",1438,1370,95.27
2023,"PODVELKA",1055,637,60.38
2023,"POSTOJNA",6683,1655,24.76
2023,"PREDDVOR",1290,812,62.95
2023,"PTUJ",10582,2900,27.41
2023,"PUCONCI",4476,2343,52.35
2023,"RAČE-FRAM",3235,1413,43.68
2023,"RADEČE",1767,960,54.33
2023,"RADENCI",2055,1525,74.21
2023,"RADLJE OB DRAVI",2551,1392,54.57
2023,"RADOVLJICA",7488,4046,54.03
2023,"RAVNE NA KOROŠKEM",4993,1473,29.5
2023,"RIBNICA",3533,768,21.74
2023,"ROGAŠOVCI",1143,1041,91.08
2023,"ROGAŠKA SLATINA",4723,4121,87.25
2023,"ROGATEC",1457,1310,89.91
2023,"RUŠE",3223,1071,33.23
2023,"SEMIČ",1530,1382,90.33
2023,"SEVNICA",7191,4200,58.41
2023,"SEŽANA",5697,163,2.86
2023,"SLOVENJ GRADEC",6953,3871,55.67
2023,"SLOVENSKA BISTRICA",10349,3967,38.33
2023,"SLOVENSKE KONJICE",6236,2628,42.14
2023,"STARŠE",1666,775,46.52
2023,"SVETI JURIJ OB ŠČAVNICI",1062,992,93.41
2023,"ŠENČUR",3108,1367,43.98
