"year","statistical_region","name_of_municipality","type_of_waste","waste_collected_public_service","total_waste_collected"
2023,"SAVINJSKA","ŠMARJE PRI JELŠAH","Wood, not specified in 20 01 37","yes",31.958
2023,"SAVINJSKA","ŠMARJE PRI JELŠAH","Wooden packaging","no",51.09
2023,"SAVINJSKA","ŠMARTNO OB PAKI","Paper/Cardboard Packaging","yes",39.481
2023,"SAVINJSKA","ŠMARTNO OB PAKI","Wood, not specified in 20 01 37","yes",100.666
2023,"SAVINJSKA","ŠOŠTANJ","Paper/Cardboard Packaging","no",45.01
2023,"SAVINJSKA","ŠOŠTANJ","Paper/Cardboard Packaging","yes",73.601
2023,"SAVINJSKA","ŠOŠTANJ","Wood, not specified in 20 01 37","yes",248.621
2023,"SAVINJSKA","ŠOŠTANJ","Wooden packaging","no",22.7
2023,"SAVINJSKA","ŠTORE","Paper/Cardboard Packaging","no",20.16
2023,"SAVINJSKA","ŠTORE","Paper/Cardboard Packaging","yes",21.81
2023,"SAVINJSKA","ŠTORE","Wood, not specified in 20 01 37","yes",91.87
2023,"SAVINJSKA","ŠTORE","Wooden packaging","no",18.2
2023,"SAVINJSKA","ŽALEC","Paper/Cardboard Packaging","yes",112.353
2023,"SAVINJSKA","ŽALEC","Wood, not specified in 20 01 37","yes",1135.19
2023,"ZASAVSKA","HRASTNIK","Paper/Cardboard Packaging","no",157.194
2023,"ZASAVSKA","HRASTNIK","Paper/Cardboard Packaging","yes",165.251
2023,"ZASAVSKA","HRASTNIK","Wooden packaging","no",162.57
2023,"ZASAVSKA","LITIJA","Paper/Cardboard Packaging","no",18.808
2023,"ZASAVSKA","LITIJA","Paper/Cardboard Packaging","yes",217.706
2023,"ZASAVSKA","LITIJA","Wood, not specified in 20 01 37","no",9.76
2023,"ZASAVSKA","LITIJA","Wood, not specified in 20 01 37","yes",322.729
2023,"ZASAVSKA","TRBOVLJE","Paper/Cardboard Packaging","no",29.493
2023,"ZASAVSKA","TRBOVLJE","Paper/Cardboard Packaging","yes",114.398
2023,"ZASAVSKA","TRBOVLJE","Wood, not specified in 20 01 37","yes",638.58
2023,"ZASAVSKA","TRBOVLJE","Wooden packaging","no",14.745
2023,"ZASAVSKA","ZAGORJE OB SAVI","Paper/Cardboard Packaging","no",161.786
2023,"ZASAVSKA","ZAGORJE OB SAVI","Paper/Cardboard Packaging","yes",184.617
2023,"ZASAVSKA","ZAGORJE OB SAVI","Wood, not specified in 20 01 37","yes",358.8
2023,"ZASAVSKA","ZAGORJE OB SAVI","Wooden packaging","no",80.712
