"year","statistical_region","collection_centre","waste_code","type_of_waste","waste_category","waste_collected_by_centre"
2024,"GORENJSKA","DRAGA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",440.051
2024,"GORENJSKA","DRAGA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",629.08
2024,"GORENJSKA","DRAGA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",271.327
2024,"GORENJSKA","DRAGA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",516.7
2024,"GORENJSKA","Gorenja vas v Todražu","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",35.352
2024,"GORENJSKA","Gorenja vas v Todražu","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",116.058
2024,"GORENJSKA","Gorenja vas v Todražu","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",88.96
2024,"GORENJSKA","Gorenja vas v Todražu","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",195.32
2024,"GORENJSKA","JEZERSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.221
2024,"GORENJSKA","JEZERSKO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3.664
2024,"GORENJSKA","JEZERSKO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",29.7
2024,"GORENJSKA","KRANJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",747.72
2024,"GORENJSKA","KRANJ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",17.4
2024,"GORENJSKA","KRANJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",233.529
2024,"GORENJSKA","KRANJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1347.48
2024,"GORENJSKA","KRANJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",574.868
2024,"GORENJSKA","PREDDVOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",36.762
2024,"GORENJSKA","PREDDVOR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",13.709
