"year","name_of_municipality","number_of_households_in_municipality","number_of_households_composting","percentage_of_households_composting"
2024,"HOČE-SLIVNICA",4994,NA,NA
2024,"HODOŠ",110,NA,NA
2024,"HORJUL",936,NA,NA
2024,"JEZERSKO",255,NA,NA
2024,"KOMENDA",2238,NA,NA
2024,"KOSTEL",346,NA,NA
2024,"KRIŽEVCI",1284,NA,NA
2024,"LOVRENC NA POHORJU",1292,NA,NA
2024,"MARKOVCI",1491,NA,NA
2024,"MIKLAVŽ NA DRAVSKEM POLJU",2989,NA,NA
2024,"MIRNA PEČ",1066,NA,NA
2024,"OPLOTNICA",1534,NA,NA
2024,"PODLEHNIK",796,NA,NA
2024,"POLZELA",2412,NA,NA
2024,"PREBOLD",2117,NA,NA
2024,"PREVALJE",2845,NA,NA
2024,"RAZKRIŽJE",486,NA,NA
2024,"RIBNICA NA POHORJU",509,NA,NA
2024,"SELNICA OB DRAVI",1945,NA,NA
2024,"SODRAŽICA",826,NA,NA
2024,"SVETA ANA",799,NA,NA
2024,"SVETI ANDRAŽ V SLOV. GORICAH",450,NA,NA
2024,"ŠEMPETER-VRTOJBA",2586,NA,NA
2024,"TABOR",638,NA,NA
2024,"TRNOVSKA VAS",473,NA,NA
2024,"VELIKA POLANA",514,NA,NA
2024,"VERŽEJ",508,NA,NA
2024,"VRANSKO",977,NA,NA
2024,"ŽALEC",8969,NA,NA
2024,"ŽETALE",489,NA,NA
2024,"ŽIROVNICA",1645,NA,NA
2024,"ŽUŽEMBERK",1737,NA,NA
2024,"ŠMARTNO PRI LITIJI",1928,NA,NA
2024,"APAČE",1383,NA,NA
2024,"CIRKULANE",1049,NA,NA
2024,"MAKOLE",848,NA,NA
2024,"MOKRONOG-TREBELNO",1189,NA,NA
2024,"POLJČANE",1811,NA,NA
2024,"RENČE-VOGRSKO",1652,NA,NA
2024,"SREDIŠČE OB DRAVI",799,NA,NA
2024,"STRAŽA",1491,NA,NA
2024,"SVETA TROJICA V SLOVENSKIH GORICAH",842,NA,NA
2024,"SVETI TOMAŽ",771,NA,NA
2024,"ŠMARJEŠKE TOPLICE",1331,NA,NA
2024,"GORJE",1085,NA,NA
2024,"LOG-DRAGOMER",5132,NA,NA
2024,"REČICA OB SAVINJI",954,NA,NA
2024,"SVETI JURIJ V SLOVENSKIH GORICAH",714,NA,NA
2024,"ŠENTRUPERT",949,NA,NA
2024,"MIRNA",1086,NA,NA
2024,"ANKARAN",1482,NA,NA
