year,statistical_region,name_of_municipality,type_of_waste,waste_category,waste_by_municipality
2018,GORENJSKA,BLED,Bulky Municipal Waste (20 03 07),Municipal Waste,316.26
2018,GORENJSKA,BOHINJ,Bulky Municipal Waste (20 03 07),Municipal Waste,226.98
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Bulky Municipal Waste (20 03 07),Municipal Waste,68.52
2018,GORENJSKA,GORENJA VAS-POLJANE,Bulky Municipal Waste (20 03 07),Municipal Waste,141.22
2018,GORENJSKA,GORJE,Bulky Municipal Waste (20 03 07),Municipal Waste,61.02
2018,GORENJSKA,JESENICE,Bulky Municipal Waste (20 03 07),Municipal Waste,956.58
2018,GORENJSKA,KRANJ,Bulky Municipal Waste (20 03 07),Municipal Waste,539.62
2018,GORENJSKA,KRANJSKA GORA,Bulky Municipal Waste (20 03 07),Municipal Waste,252.576
2018,GORENJSKA,NAKLO,Bulky Municipal Waste (20 03 07),Municipal Waste,28.425
2018,GORENJSKA,PREDDVOR,Bulky Municipal Waste (20 03 07),Municipal Waste,6.397
2018,GORENJSKA,RADOVLJICA,Bulky Municipal Waste (20 03 07),Municipal Waste,544.84
2018,GORENJSKA,TRŽIČ,Bulky Municipal Waste (20 03 07),Municipal Waste,301.86
2018,GORENJSKA,ŠENČUR,Bulky Municipal Waste (20 03 07),Municipal Waste,75.123
2018,GORENJSKA,ŠKOFJA LOKA,Bulky Municipal Waste (20 03 07),Municipal Waste,675.98
2018,GORENJSKA,ŽELEZNIKI,Bulky Municipal Waste (20 03 07),Municipal Waste,82.46
2018,GORENJSKA,ŽIRI,Bulky Municipal Waste (20 03 07),Municipal Waste,40.12
2018,GORENJSKA,ŽIROVNICA,Bulky Municipal Waste (20 03 07),Municipal Waste,225
2018,GORENJSKA,BLED,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,316.489
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,223.08
2018,GORENJSKA,GORENJA VAS-POLJANE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,56.78
2018,GORENJSKA,GORJE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,55.851
2018,GORENJSKA,JESENICE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,277.06
2018,GORENJSKA,JEZERSKO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,27.5
2018,GORENJSKA,KRANJ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1016.11
2018,GORENJSKA,NAKLO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,49.22
2018,GORENJSKA,RADOVLJICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,478.33
2018,GORENJSKA,TRŽIČ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,153.8
2018,GORENJSKA,ŠENČUR,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,159.16
2018,GORENJSKA,ŽIRI,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,91.14
2018,GORENJSKA,ŽIROVNICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,78.14
2018,GORENJSKA,BLED,Paper and Cardboard Packaging (15 01 01),Packaging Waste,90.093
2018,GORENJSKA,BOHINJ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,44.459
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Paper and Cardboard Packaging (15 01 01),Packaging Waste,26.046999999999997
2018,GORENJSKA,GORENJA VAS-POLJANE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,29.345
2018,GORENJSKA,GORJE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.325
2018,GORENJSKA,JESENICE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,123.321
2018,GORENJSKA,JEZERSKO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2.56
2018,GORENJSKA,KRANJ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,458.28
2018,GORENJSKA,KRANJSKA GORA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,121.34
2018,GORENJSKA,NAKLO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.578
2018,GORENJSKA,PREDDVOR,Paper and Cardboard Packaging (15 01 01),Packaging Waste,22.32
2018,GORENJSKA,RADOVLJICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,181.62300000000002
2018,GORENJSKA,TRŽIČ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,118.096
2018,GORENJSKA,ŠENČUR,Paper and Cardboard Packaging (15 01 01),Packaging Waste,72.339
2018,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,330.238
2018,GORENJSKA,ŽELEZNIKI,Paper and Cardboard Packaging (15 01 01),Packaging Waste,44.108999999999995
2018,GORENJSKA,ŽIRI,Paper and Cardboard Packaging (15 01 01),Packaging Waste,24.973000000000003
2018,GORENJSKA,ŽIROVNICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,29.923
2018,GORENJSKA,BLED,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,373.325
2018,GORENJSKA,BOHINJ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,46.564
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,111.042
2018,GORENJSKA,GORENJA VAS-POLJANE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,78.477
2018,GORENJSKA,GORJE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,52.36
2018,GORENJSKA,JESENICE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,282.75
2018,GORENJSKA,JEZERSKO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,3.58
2018,GORENJSKA,KRANJ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,604.022
2018,GORENJSKA,KRANJSKA GORA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,55.521
2018,GORENJSKA,NAKLO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,23.54
2018,GORENJSKA,PREDDVOR,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,31.28
2018,GORENJSKA,RADOVLJICA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,371.676
2018,GORENJSKA,TRŽIČ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,120.726
2018,GORENJSKA,ŠENČUR,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,90.26
2018,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,403.299
2018,GORENJSKA,ŽELEZNIKI,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,47.725
2018,GORENJSKA,ŽIRI,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,117.033
2018,GORENJSKA,ŽIROVNICA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,79.8
2018,GORENJSKA,KRANJ,Wooden Packaging (15 01 03),Packaging Waste,22.45
2018,GORENJSKA,NAKLO,Wooden Packaging (15 01 03),Packaging Waste,0.97
2018,GORENJSKA,ŠENČUR,Wooden Packaging (15 01 03),Packaging Waste,3.04
2018,GORENJSKA,ŠKOFJA LOKA,Wooden Packaging (15 01 03),Packaging Waste,102.42
2018,GORENJSKA,ŽIRI,Wooden Packaging (15 01 03),Packaging Waste,14.54
2018,GORIŠKA,AJDOVŠČINA,Bulky Municipal Waste (20 03 07),Municipal Waste,242.05
2018,GORIŠKA,BOVEC,Bulky Municipal Waste (20 03 07),Municipal Waste,47.804
2018,GORIŠKA,BRDA,Bulky Municipal Waste (20 03 07),Municipal Waste,272.736
2018,GORIŠKA,CERKNO,Bulky Municipal Waste (20 03 07),Municipal Waste,108.627
2018,GORIŠKA,IDRIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,318.633
2018,GORIŠKA,KANAL,Bulky Municipal Waste (20 03 07),Municipal Waste,223.416
2018,GORIŠKA,KOBARID,Bulky Municipal Waste (20 03 07),Municipal Waste,49.976
2018,GORIŠKA,MIREN-KOSTANJEVICA,Bulky Municipal Waste (20 03 07),Municipal Waste,216.601
2018,GORIŠKA,NOVA GORICA,Bulky Municipal Waste (20 03 07),Municipal Waste,755.236
2018,GORIŠKA,RENČE-VOGRSKO,Bulky Municipal Waste (20 03 07),Municipal Waste,115.189
2018,GORIŠKA,TOLMIN,Bulky Municipal Waste (20 03 07),Municipal Waste,119.51
2018,GORIŠKA,VIPAVA,Bulky Municipal Waste (20 03 07),Municipal Waste,61.21
2018,GORIŠKA,ŠEMPETER-VRTOJBA,Bulky Municipal Waste (20 03 07),Municipal Waste,246.73
2018,GORIŠKA,AJDOVŠČINA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,109.61
2018,GORIŠKA,BOVEC,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,104.619
2018,GORIŠKA,BRDA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,310.06
2018,GORIŠKA,CERKNO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,79.988
2018,GORIŠKA,IDRIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,362.302
2018,GORIŠKA,KANAL,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,236.281
2018,GORIŠKA,KOBARID,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,109.374
2018,GORIŠKA,MIREN-KOSTANJEVICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,219.746
2018,GORIŠKA,NOVA GORICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,660.857
2018,GORIŠKA,RENČE-VOGRSKO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,130.748
2018,GORIŠKA,TOLMIN,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,261.547
2018,GORIŠKA,VIPAVA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,32.74
2018,GORIŠKA,ŠEMPETER-VRTOJBA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,186.928
2018,GORIŠKA,AJDOVŠČINA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,176.75
2018,GORIŠKA,BOVEC,Paper and Cardboard Packaging (15 01 01),Packaging Waste,92.071
2018,GORIŠKA,BRDA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,21.866999999999997
2018,GORIŠKA,CERKNO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,60.298
2018,GORIŠKA,IDRIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,189.727
2018,GORIŠKA,KANAL,Paper and Cardboard Packaging (15 01 01),Packaging Waste,11.081
2018,GORIŠKA,KOBARID,Paper and Cardboard Packaging (15 01 01),Packaging Waste,96.256
2018,GORIŠKA,MIREN-KOSTANJEVICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,8.267
2018,GORIŠKA,NOVA GORICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,180.304
2018,GORIŠKA,RENČE-VOGRSKO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.175
2018,GORIŠKA,TOLMIN,Paper and Cardboard Packaging (15 01 01),Packaging Waste,230.98499999999999
2018,GORIŠKA,VIPAVA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,55.705999999999996
2018,GORIŠKA,ŠEMPETER-VRTOJBA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,57.65
2018,GORIŠKA,AJDOVŠČINA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,360.2
2018,GORIŠKA,BOVEC,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,22.878
2018,GORIŠKA,BRDA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,192.74
2018,GORIŠKA,CERKNO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,73.068
2018,GORIŠKA,IDRIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,226.551
2018,GORIŠKA,KANAL,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,111.714
2018,GORIŠKA,KOBARID,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,23.918
2018,GORIŠKA,MIREN-KOSTANJEVICA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,191.549
2018,GORIŠKA,NOVA GORICA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1306.541
2018,GORIŠKA,RENČE-VOGRSKO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,120.109
2018,GORIŠKA,TOLMIN,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,57.194
2018,GORIŠKA,VIPAVA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,107.595
2018,GORIŠKA,ŠEMPETER-VRTOJBA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,307.643
2018,GORIŠKA,AJDOVŠČINA,Wooden Packaging (15 01 03),Packaging Waste,2.31
2018,GORIŠKA,BOVEC,Wooden Packaging (15 01 03),Packaging Waste,0.044
2018,GORIŠKA,IDRIJA,Wooden Packaging (15 01 03),Packaging Waste,74.74
2018,GORIŠKA,KANAL,Wooden Packaging (15 01 03),Packaging Waste,14.64
2018,GORIŠKA,KOBARID,Wooden Packaging (15 01 03),Packaging Waste,0.046
2018,GORIŠKA,MIREN-KOSTANJEVICA,Wooden Packaging (15 01 03),Packaging Waste,0.88
2018,GORIŠKA,NOVA GORICA,Wooden Packaging (15 01 03),Packaging Waste,112.69
2018,GORIŠKA,RENČE-VOGRSKO,Wooden Packaging (15 01 03),Packaging Waste,20.36
2018,GORIŠKA,TOLMIN,Wooden Packaging (15 01 03),Packaging Waste,0.11
2018,GORIŠKA,VIPAVA,Wooden Packaging (15 01 03),Packaging Waste,0.69
2018,GORIŠKA,ŠEMPETER-VRTOJBA,Wooden Packaging (15 01 03),Packaging Waste,2.516
2018,JUGOVZHODNA SLOVENIJA,DOLENJSKE TOPLICE,Bulky Municipal Waste (20 03 07),Municipal Waste,19.79
2018,JUGOVZHODNA SLOVENIJA,KOSTEL,Bulky Municipal Waste (20 03 07),Municipal Waste,71.6
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Bulky Municipal Waste (20 03 07),Municipal Waste,823.64
2018,JUGOVZHODNA SLOVENIJA,LOŠKI POTOK,Bulky Municipal Waste (20 03 07),Municipal Waste,92.329
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Bulky Municipal Waste (20 03 07),Municipal Waste,119.54
2018,JUGOVZHODNA SLOVENIJA,MIRNA,Bulky Municipal Waste (20 03 07),Municipal Waste,29.138
2018,JUGOVZHODNA SLOVENIJA,MOKRONOG-TREBELNO,Bulky Municipal Waste (20 03 07),Municipal Waste,35.707
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Bulky Municipal Waste (20 03 07),Municipal Waste,456.93
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Bulky Municipal Waste (20 03 07),Municipal Waste,163.102
2018,JUGOVZHODNA SLOVENIJA,SEMIČ,Bulky Municipal Waste (20 03 07),Municipal Waste,81.835
2018,JUGOVZHODNA SLOVENIJA,SODRAŽICA,Bulky Municipal Waste (20 03 07),Municipal Waste,38.469
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Bulky Municipal Waste (20 03 07),Municipal Waste,120.925
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Bulky Municipal Waste (20 03 07),Municipal Waste,300.395
2018,JUGOVZHODNA SLOVENIJA,ŠENTJERNEJ,Bulky Municipal Waste (20 03 07),Municipal Waste,84.31
2018,JUGOVZHODNA SLOVENIJA,ŠENTRUPERT,Bulky Municipal Waste (20 03 07),Municipal Waste,29.59
2018,JUGOVZHODNA SLOVENIJA,ŠKOCJAN,Bulky Municipal Waste (20 03 07),Municipal Waste,0.89
2018,JUGOVZHODNA SLOVENIJA,ŠMARJEŠKE TOPLICE,Bulky Municipal Waste (20 03 07),Municipal Waste,1.75
2018,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,Bulky Municipal Waste (20 03 07),Municipal Waste,42.43
2018,JUGOVZHODNA SLOVENIJA,DOLENJSKE TOPLICE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,54.476
2018,JUGOVZHODNA SLOVENIJA,KOSTEL,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,40.14
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,607.34
2018,JUGOVZHODNA SLOVENIJA,LOŠKI POTOK,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,28.289
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,188.82
2018,JUGOVZHODNA SLOVENIJA,MIRNA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,40.844
2018,JUGOVZHODNA SLOVENIJA,MIRNA PEČ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,49.961
2018,JUGOVZHODNA SLOVENIJA,MOKRONOG-TREBELNO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,50.052
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,576.513
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,121.07
2018,JUGOVZHODNA SLOVENIJA,SEMIČ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,5.421
2018,JUGOVZHODNA SLOVENIJA,SODRAŽICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,28.555
2018,JUGOVZHODNA SLOVENIJA,STRAŽA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,61.404
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,169.506
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,19.899
2018,JUGOVZHODNA SLOVENIJA,ŠENTJERNEJ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,111.964
2018,JUGOVZHODNA SLOVENIJA,ŠENTRUPERT,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,41.478
2018,JUGOVZHODNA SLOVENIJA,ŠKOCJAN,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,51.701
2018,JUGOVZHODNA SLOVENIJA,ŠMARJEŠKE TOPLICE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,52.478
2018,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,73.263
2018,JUGOVZHODNA SLOVENIJA,DOLENJSKE TOPLICE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,27.19
2018,JUGOVZHODNA SLOVENIJA,KOSTEL,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.674000000000001
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,159.62699999999998
2018,JUGOVZHODNA SLOVENIJA,LOŠKI POTOK,Paper and Cardboard Packaging (15 01 01),Packaging Waste,14.533
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,127.315
2018,JUGOVZHODNA SLOVENIJA,MIRNA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.213
2018,JUGOVZHODNA SLOVENIJA,MIRNA PEČ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,21.303
2018,JUGOVZHODNA SLOVENIJA,MOKRONOG-TREBELNO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,20.826
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,211.328
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,63.196999999999996
2018,JUGOVZHODNA SLOVENIJA,SEMIČ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,37.366
2018,JUGOVZHODNA SLOVENIJA,SODRAŽICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,14.537
2018,JUGOVZHODNA SLOVENIJA,STRAŽA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,29.433
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,80.057
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,138.41500000000002
2018,JUGOVZHODNA SLOVENIJA,ŠENTJERNEJ,Paper and Cardboard Packaging (15 01 01),Packaging Waste,61.668000000000006
2018,JUGOVZHODNA SLOVENIJA,ŠENTRUPERT,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.48
2018,JUGOVZHODNA SLOVENIJA,ŠKOCJAN,Paper and Cardboard Packaging (15 01 01),Packaging Waste,26.865000000000002
2018,JUGOVZHODNA SLOVENIJA,ŠMARJEŠKE TOPLICE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,27.254
2018,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,Paper and Cardboard Packaging (15 01 01),Packaging Waste,36.061
2018,JUGOVZHODNA SLOVENIJA,DOLENJSKE TOPLICE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,20.44
2018,JUGOVZHODNA SLOVENIJA,KOSTEL,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,6.2
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,81.815
2018,JUGOVZHODNA SLOVENIJA,LOŠKI POTOK,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,9.363
2018,JUGOVZHODNA SLOVENIJA,MIRNA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,6.792
2018,JUGOVZHODNA SLOVENIJA,MIRNA PEČ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,16.015
2018,JUGOVZHODNA SLOVENIJA,MOKRONOG-TREBELNO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,8.323
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,144.825
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,40.073
2018,JUGOVZHODNA SLOVENIJA,SEMIČ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,14.384
2018,JUGOVZHODNA SLOVENIJA,SODRAŽICA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,9.451
2018,JUGOVZHODNA SLOVENIJA,STRAŽA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,21.513
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,28.188
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,52.801
2018,JUGOVZHODNA SLOVENIJA,ŠENTJERNEJ,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,45.772
2018,JUGOVZHODNA SLOVENIJA,ŠENTRUPERT,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,6.897
2018,JUGOVZHODNA SLOVENIJA,ŠKOCJAN,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,19.669
2018,JUGOVZHODNA SLOVENIJA,ŠMARJEŠKE TOPLICE,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,20.489
2018,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,26.378
2018,JUGOVZHODNA SLOVENIJA,DOLENJSKE TOPLICE,Wooden Packaging (15 01 03),Packaging Waste,9.442
2018,JUGOVZHODNA SLOVENIJA,MIRNA PEČ,Wooden Packaging (15 01 03),Packaging Waste,8.14
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Wooden Packaging (15 01 03),Packaging Waste,100.444
2018,JUGOVZHODNA SLOVENIJA,STRAŽA,Wooden Packaging (15 01 03),Packaging Waste,10.643
2018,JUGOVZHODNA SLOVENIJA,ŠENTJERNEJ,Wooden Packaging (15 01 03),Packaging Waste,19.406
2018,JUGOVZHODNA SLOVENIJA,ŠKOCJAN,Wooden Packaging (15 01 03),Packaging Waste,8.961
2018,JUGOVZHODNA SLOVENIJA,ŠMARJEŠKE TOPLICE,Wooden Packaging (15 01 03),Packaging Waste,9.096
2018,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,Wooden Packaging (15 01 03),Packaging Waste,12.698
2018,KOROŠKA,DRAVOGRAD,Bulky Municipal Waste (20 03 07),Municipal Waste,239.82
2018,KOROŠKA,MEŽICA,Bulky Municipal Waste (20 03 07),Municipal Waste,127.313
2018,KOROŠKA,MISLINJA,Bulky Municipal Waste (20 03 07),Municipal Waste,142.49
2018,KOROŠKA,MUTA,Bulky Municipal Waste (20 03 07),Municipal Waste,55.259
2018,KOROŠKA,PODVELKA,Bulky Municipal Waste (20 03 07),Municipal Waste,44.734
2018,KOROŠKA,PREVALJE,Bulky Municipal Waste (20 03 07),Municipal Waste,168.941
2018,KOROŠKA,RADLJE OB DRAVI,Bulky Municipal Waste (20 03 07),Municipal Waste,107.887
2018,KOROŠKA,RAVNE NA KOROŠKEM,Bulky Municipal Waste (20 03 07),Municipal Waste,247.637
2018,KOROŠKA,RIBNICA NA POHORJU,Bulky Municipal Waste (20 03 07),Municipal Waste,15.788
2018,KOROŠKA,SLOVENJ GRADEC,Bulky Municipal Waste (20 03 07),Municipal Waste,569.96
2018,KOROŠKA,VUZENICA,Bulky Municipal Waste (20 03 07),Municipal Waste,39.472
2018,KOROŠKA,ČRNA NA KOROŠKEM,Bulky Municipal Waste (20 03 07),Municipal Waste,63.809
2018,KOROŠKA,DRAVOGRAD,Paper and Cardboard Packaging (15 01 01),Packaging Waste,81.606
2018,KOROŠKA,MEŽICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,3.885
2018,KOROŠKA,MISLINJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,27.796
2018,KOROŠKA,MUTA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.867
2018,KOROŠKA,PODVELKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.858
2018,KOROŠKA,PREVALJE,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.057
2018,KOROŠKA,RADLJE OB DRAVI,Paper and Cardboard Packaging (15 01 01),Packaging Waste,21.998
2018,KOROŠKA,RAVNE NA KOROŠKEM,Paper and Cardboard Packaging (15 01 01),Packaging Waste,13.073
2018,KOROŠKA,RIBNICA NA POHORJU,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.235
2018,KOROŠKA,SLOVENJ GRADEC,Paper and Cardboard Packaging (15 01 01),Packaging Waste,113.06400000000001
2018,KOROŠKA,VUZENICA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.42
2018,KOROŠKA,ČRNA NA KOROŠKEM,Paper and Cardboard Packaging (15 01 01),Packaging Waste,3.8449999999999998
