"year","name_of_municipality","number_of_households","number_of_households_composting","percentage_of_households_composting"
2022,"ROGAŠKA SLATINA",4723,4130,87.44
2022,"ROGAŠOVCI",1143,1050,91.86
2022,"ROGATEC",1457,1312,90.05
2022,"RUŠE",3223,1161,36.02
2022,"SELNICA OB DRAVI",1945,1092,56.14
2022,"SEMIČ",1530,1382,90.33
2022,"SEVNICA",7191,4200,58.41
2022,"SEŽANA",5697,106,1.86
2022,"SLOVENJ GRADEC",6953,5124,73.69
2022,"SLOVENSKA BISTRICA",10349,4825,46.62
2022,"SLOVENSKE KONJICE",6236,2670,42.82
2022,"SODRAŽICA",826,759,91.89
2022,"SOLČAVA",202,142,70.3
2022,"SREDIŠČE OB DRAVI",799,705,88.24
2022,"STARŠE",1666,801,48.08
2022,"STRAŽA",1491,1960,131.46
2022,"SVETA ANA",799,713,89.24
2022,"SVETA TROJICA V SLOVENSKIH GORICAH",842,673,79.93
2022,"SVETI ANDRAŽ V SLOV. GORICAH",450,308,68.44
2022,"SVETI JURIJ OB ŠČAVNICI",1062,1004,94.54
2022,"SVETI JURIJ V SLOVENSKIH GORICAH",714,629,88.1
2022,"SVETI TOMAŽ",771,728,94.42
2022,"ŠALOVCI",561,549,97.86
2022,"ŠEMPETER-VRTOJBA",2586,364,14.08
2022,"ŠENČUR",3108,1285,41.34
2022,"ŠENTILJ",3499,2608,74.54
2022,"ŠENTJERNEJ",2546,998,39.2
2022,"ŠENTJUR",7783,14553,186.98
2022,"ŠENTRUPERT",949,1146,120.76
2022,"ŠKOCJAN",1201,965,80.35
2022,"ŠKOFJA LOKA",8439,5010,59.37
2022,"ŠKOFLJICA",4245,1966,46.31
2022,"ŠMARJE PRI JELŠAH",4049,3727,92.05
2022,"ŠMARJEŠKE TOPLICE",1331,1036,77.84
2022,"ŠMARTNO OB PAKI",1243,868,69.83
2022,"ŠMARTNO PRI LITIJI",1928,1747,90.61
2022,"ŠOŠTANJ",3577,1521,42.52
2022,"ŠTORE",1960,2476,126.33
2022,"TABOR",638,1372,215.05
2022,"TIŠINA",1507,1376,91.31
2022,"TOLMIN",4590,123,2.68
2022,"TRBOVLJE",7334,834,11.37
2022,"TREBNJE",5057,4389,86.79
2022,"TRNOVSKA VAS",473,366,77.38
2022,"TRZIN",1490,0,0
2022,"TRŽIČ",5921,1725,29.13
2022,"TURNIŠČE",1095,952,86.94
2022,"VELENJE",14346,2641,18.41
2022,"VELIKA POLANA",514,431,83.85
2022,"VELIKE LAŠČE",1669,1534,91.91
2022,"VERŽEJ",508,392,77.17
2022,"VIDEM",2438,1378,56.52
2022,"VIPAVA",2089,549,26.28
2022,"VITANJE",871,840,96.44
2022,"VODICE",1714,638,37.22
2022,"VOJNIK",3576,6948,194.3
2022,"VRANSKO",977,2011,205.83
2022,"VRHNIKA",6478,2487,38.39
2022,"VUZENICA",1088,715,65.72
2022,"ZAGORJE OB SAVI",6449,2772,42.98
2022,"ZAVRČ",680,400,58.82
2022,"ZREČE",2662,2375,89.22
2022,"ŽALEC",8969,11064,123.36
2022,"ŽELEZNIKI",2123,1440,67.83
2022,"ŽETALE",489,353,72.19
2022,"ŽIRI",1778,1470,82.68
2022,"ŽIROVNICA",1645,1380,83.89
2022,"ŽUŽEMBERK",1737,1402,80.71
