"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_by_municipality"
2022,"GORENJSKA","ŽIROVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",32.599
2022,"GORENJSKA","ŽIROVNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",128.756
2022,"GORENJSKA","ŽIROVNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",310.04
2022,"GORENJSKA","ŽIROVNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",221.16
2022,"GORIŠKA","AJDOVŠČINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",149.481
2022,"GORIŠKA","AJDOVŠČINA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",10.127
2022,"GORIŠKA","AJDOVŠČINA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",286.397
2022,"GORIŠKA","AJDOVŠČINA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",750.342
2022,"GORIŠKA","AJDOVŠČINA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",102.16
2022,"GORIŠKA","BOVEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",63.78
2022,"GORIŠKA","BOVEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",98.593
2022,"GORIŠKA","BOVEC","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",124.644
2022,"GORIŠKA","BOVEC","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",65.873
2022,"GORIŠKA","BRDA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",69.541
2022,"GORIŠKA","BRDA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.1
2022,"GORIŠKA","BRDA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",141.011
2022,"GORIŠKA","BRDA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",277.074
2022,"GORIŠKA","BRDA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",310.284
2022,"GORIŠKA","CERKNO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.213
2022,"GORIŠKA","CERKNO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",109.992
2022,"GORIŠKA","CERKNO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",74.418
2022,"GORIŠKA","CERKNO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",117.512
2022,"GORIŠKA","IDRIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",187.176
2022,"GORIŠKA","IDRIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",48.71
2022,"GORIŠKA","IDRIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",349.776
2022,"GORIŠKA","IDRIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",283.047
2022,"GORIŠKA","IDRIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",358.588
2022,"GORIŠKA","KANAL","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",19.323
2022,"GORIŠKA","KANAL","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",182
2022,"GORIŠKA","KANAL","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",116.586
2022,"GORIŠKA","KANAL","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",236.459
2022,"GORIŠKA","KANAL","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",272.577
2022,"GORIŠKA","KOBARID","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",56.176
2022,"GORIŠKA","KOBARID","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",94.214
2022,"GORIŠKA","KOBARID","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",110.262
2022,"GORIŠKA","KOBARID","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",58.273
2022,"GORIŠKA","MIREN-KOSTANJEVICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",140.739
2022,"GORIŠKA","MIREN-KOSTANJEVICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.1
2022,"GORIŠKA","MIREN-KOSTANJEVICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",194.369
2022,"GORIŠKA","MIREN-KOSTANJEVICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",211.078
2022,"GORIŠKA","MIREN-KOSTANJEVICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",247.062
2022,"GORIŠKA","NOVA GORICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",640.078
2022,"GORIŠKA","NOVA GORICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",96.266
2022,"GORIŠKA","NOVA GORICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1023.494
2022,"GORIŠKA","NOVA GORICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",825.27
2022,"GORIŠKA","NOVA GORICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",804.8
2022,"GORIŠKA","RENČE-VOGRSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.158
2022,"GORIŠKA","RENČE-VOGRSKO","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",15.484
2022,"GORIŠKA","RENČE-VOGRSKO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",89.538
2022,"GORIŠKA","RENČE-VOGRSKO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",121.299
2022,"GORIŠKA","RENČE-VOGRSKO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",131.037
2022,"GORIŠKA","TOLMIN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",155.302
2022,"GORIŠKA","TOLMIN","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",55.74
2022,"GORIŠKA","TOLMIN","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",154.256
2022,"GORIŠKA","TOLMIN","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",259.694
2022,"GORIŠKA","TOLMIN","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",129.214
2022,"GORIŠKA","VIPAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",153.129
2022,"GORIŠKA","VIPAVA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.473
2022,"GORIŠKA","VIPAVA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",290.696
2022,"GORIŠKA","VIPAVA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",173.608
2022,"GORIŠKA","VIPAVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",27.23
2022,"GORIŠKA","ŠEMPETER-VRTOJBA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",236.455
2022,"GORIŠKA","ŠEMPETER-VRTOJBA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",9.54
2022,"GORIŠKA","ŠEMPETER-VRTOJBA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",146.417
2022,"GORIŠKA","ŠEMPETER-VRTOJBA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",179.84
2022,"GORIŠKA","ŠEMPETER-VRTOJBA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",67.4
2022,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",36.533
2022,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",19.189
2022,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",56.728
2022,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",71.195
2022,"JUGOVZHODNA SLOVENIJA","KOSTEL","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.8
2022,"JUGOVZHODNA SLOVENIJA","KOSTEL","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8.08
2022,"JUGOVZHODNA SLOVENIJA","KOSTEL","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",7.16
2022,"JUGOVZHODNA SLOVENIJA","KOSTEL","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",22.8
2022,"JUGOVZHODNA SLOVENIJA","KOČEVJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",227.68
2022,"JUGOVZHODNA SLOVENIJA","KOČEVJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",491.659
2022,"JUGOVZHODNA SLOVENIJA","KOČEVJE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",391.64
2022,"JUGOVZHODNA SLOVENIJA","KOČEVJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",622.57
2022,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.895
2022,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.68
2022,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",17.498
2022,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",51.876
2022,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",43.731
2022,"JUGOVZHODNA SLOVENIJA","METLIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",143.55
2022,"JUGOVZHODNA SLOVENIJA","METLIKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.94
2022,"JUGOVZHODNA SLOVENIJA","METLIKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",65.587
2022,"JUGOVZHODNA SLOVENIJA","METLIKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",309.12
2022,"JUGOVZHODNA SLOVENIJA","METLIKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",283.6
2022,"JUGOVZHODNA SLOVENIJA","MIRNA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",39.457
2022,"JUGOVZHODNA SLOVENIJA","MIRNA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",18.781
2022,"JUGOVZHODNA SLOVENIJA","MIRNA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",52.058
2022,"JUGOVZHODNA SLOVENIJA","MIRNA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",30.012
2022,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",29.704
2022,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",27.257
2022,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",48.635
2022,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",61.039
2022,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",69.372
2022,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",12.071
2022,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",63.793
2022,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",36.778
2022,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",535.344
2022,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",548.294
2022,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",594.547
2022,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",746.169
2022,"JUGOVZHODNA SLOVENIJA","OSILNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.56
2022,"JUGOVZHODNA SLOVENIJA","OSILNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1.097
2022,"JUGOVZHODNA SLOVENIJA","OSILNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9.92
2022,"JUGOVZHODNA SLOVENIJA","RIBNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",181.175
2022,"JUGOVZHODNA SLOVENIJA","RIBNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",6.687
2022,"JUGOVZHODNA SLOVENIJA","RIBNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",166.193
2022,"JUGOVZHODNA SLOVENIJA","RIBNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",222.02
2022,"JUGOVZHODNA SLOVENIJA","RIBNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",309.62
2022,"JUGOVZHODNA SLOVENIJA","SEMIČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",39.532
2022,"JUGOVZHODNA SLOVENIJA","SEMIČ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",50.059
2022,"JUGOVZHODNA SLOVENIJA","SEMIČ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",73.656
2022,"JUGOVZHODNA SLOVENIJA","SEMIČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",131.821
2022,"JUGOVZHODNA SLOVENIJA","SODRAŽICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.911
2022,"JUGOVZHODNA SLOVENIJA","SODRAŽICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",24.558
2022,"JUGOVZHODNA SLOVENIJA","SODRAŽICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",52.364
2022,"JUGOVZHODNA SLOVENIJA","SODRAŽICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",53.829
2022,"JUGOVZHODNA SLOVENIJA","STRAŽA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",35.099
2022,"JUGOVZHODNA SLOVENIJA","STRAŽA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",29.953
2022,"JUGOVZHODNA SLOVENIJA","STRAŽA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",61.344
2022,"JUGOVZHODNA SLOVENIJA","STRAŽA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",76.988
2022,"JUGOVZHODNA SLOVENIJA","TREBNJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",156.311
2022,"JUGOVZHODNA SLOVENIJA","TREBNJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",103.023
2022,"JUGOVZHODNA SLOVENIJA","TREBNJE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",217.503
2022,"JUGOVZHODNA SLOVENIJA","TREBNJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",124.552
2022,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",125.888
2022,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",140.02
2022,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",129.297
2022,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",231.084
2022,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",413.569
2022,"JUGOVZHODNA SLOVENIJA","ŠENTJERNEJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",72.315
2022,"JUGOVZHODNA SLOVENIJA","ŠENTJERNEJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",66.627
2022,"JUGOVZHODNA SLOVENIJA","ŠENTJERNEJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",114.547
2022,"JUGOVZHODNA SLOVENIJA","ŠENTJERNEJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",143.759
2022,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.884
2022,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7.913
2022,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",52.866
2022,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",30.478
2022,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",51.516
2022,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",106.601
2022,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",54.041
2022,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",67.823
2022,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",36.481
2022,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",21.473
2022,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",55.669
2022,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",69.866
2022,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",48.067
2022,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",23.417
2022,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",74.589
2022,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",93.611
2022,"KOROŠKA","DRAVOGRAD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",182.198
2022,"KOROŠKA","DRAVOGRAD","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",99.901
2022,"KOROŠKA","DRAVOGRAD","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",48.56
2022,"KOROŠKA","DRAVOGRAD","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",230.44
2022,"KOROŠKA","MEŽICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.204
2022,"KOROŠKA","MEŽICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",48.273
2022,"KOROŠKA","MEŽICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",108.885
2022,"KOROŠKA","MISLINJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",147.775
2022,"KOROŠKA","MISLINJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",56.711
2022,"KOROŠKA","MISLINJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",181.327
2022,"KOROŠKA","MUTA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",27.378
2022,"KOROŠKA","MUTA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",42.18
2022,"KOROŠKA","MUTA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.664
2022,"KOROŠKA","MUTA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",68.912
2022,"KOROŠKA","PODVELKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",11.407
2022,"KOROŠKA","PODVELKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",14.518
2022,"KOROŠKA","PODVELKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",48.078
2022,"KOROŠKA","PREVALJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",45.679
2022,"KOROŠKA","PREVALJE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",18.033
2022,"KOROŠKA","PREVALJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",80.34
2022,"KOROŠKA","PREVALJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",205.499
2022,"KOROŠKA","RADLJE OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",42.835
2022,"KOROŠKA","RADLJE OB DRAVI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",29.542
2022,"KOROŠKA","RADLJE OB DRAVI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",137.824
2022,"KOROŠKA","RAVNE NA KOROŠKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",146.405
2022,"KOROŠKA","RAVNE NA KOROŠKEM","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",281.899
2022,"KOROŠKA","RAVNE NA KOROŠKEM","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",47.16
2022,"KOROŠKA","RAVNE NA KOROŠKEM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",342.743
2022,"KOROŠKA","RIBNICA NA POHORJU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.406
2022,"KOROŠKA","RIBNICA NA POHORJU","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2.296
2022,"KOROŠKA","RIBNICA NA POHORJU","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",19.231
2022,"KOROŠKA","SLOVENJ GRADEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",255.848
2022,"KOROŠKA","SLOVENJ GRADEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",283.676
2022,"KOROŠKA","SLOVENJ GRADEC","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.4
2022,"KOROŠKA","SLOVENJ GRADEC","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",668.813
2022,"KOROŠKA","VUZENICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.554
2022,"KOROŠKA","VUZENICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",11.769
2022,"KOROŠKA","VUZENICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",46.475
2022,"KOROŠKA","ČRNA NA KOROŠKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21.72
2022,"KOROŠKA","ČRNA NA KOROŠKEM","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",201.28
2022,"KOROŠKA","ČRNA NA KOROŠKEM","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",43.611
2022,"KOROŠKA","ČRNA NA KOROŠKEM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",97.713
2022,"OBALNOKRAŠKA","ANKARAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",39.086
2022,"OBALNOKRAŠKA","ANKARAN","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",143.515
2022,"OBALNOKRAŠKA","ANKARAN","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",71.22
2022,"OBALNOKRAŠKA","ANKARAN","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",26.664
2022,"OBALNOKRAŠKA","DIVAČA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",43.708
2022,"OBALNOKRAŠKA","DIVAČA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",7.24
2022,"OBALNOKRAŠKA","DIVAČA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",141.153
2022,"OBALNOKRAŠKA","DIVAČA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",93.473
2022,"OBALNOKRAŠKA","DIVAČA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",24.511
2022,"OBALNOKRAŠKA","HRPELJE-KOZINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",50.337
2022,"OBALNOKRAŠKA","HRPELJE-KOZINA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",158.672
2022,"OBALNOKRAŠKA","HRPELJE-KOZINA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",103.971
2022,"OBALNOKRAŠKA","HRPELJE-KOZINA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",27.263
2022,"OBALNOKRAŠKA","IZOLA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",201.259
2022,"OBALNOKRAŠKA","IZOLA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",410.816
