"name_of_company","waste_code","name_of_municipality","total_waste_collected","type_of_waste","statistical_region"
"Komunala Tolmin, javno podjetje, d.o.o.","20 01 38","BOVEC",136037,"Wood, not specified in 20 01 37","GORIŠKA"
"Komunala Tolmin, javno podjetje, d.o.o.","20 01 38","KOBARID",120341,"Wood, not specified in 20 01 37","GORIŠKA"
"Komunala Tolmin, javno podjetje, d.o.o.","20 01 38","TOLMIN",266842,"Wood, not specified in 20 01 37","GORIŠKA"
"KOMUNALA TREBNJE d.o.o.","15 01 01","MIRNA",15440,"Paper/Cardboard Packaging","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","15 01 01","MOKRONOG-TREBELNO",18921,"Paper/Cardboard Packaging","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","15 01 01","ŠENTRUPERT",15680,"Paper/Cardboard Packaging","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","15 01 01","TREBNJE",64079,"Paper/Cardboard Packaging","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","20 01 38","MIRNA",52272,"Wood, not specified in 20 01 37","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","20 01 38","MOKRONOG-TREBELNO",64055,"Wood, not specified in 20 01 37","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","20 01 38","ŠENTRUPERT",53083,"Wood, not specified in 20 01 37","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TREBNJE d.o.o.","20 01 38","TREBNJE",216930,"Wood, not specified in 20 01 37","JUGOVZHODNA SLOVENIJA"
"KOMUNALA TRŽIČ d.o.o.","15 01 01","TRŽIČ",121780,"Paper/Cardboard Packaging","GORENJSKA"
"KOMUNALA TRŽIČ d.o.o.","20 01 38","TRŽIČ",225900,"Wood, not specified in 20 01 37","GORENJSKA"
"KOMUNALNO PODJETJE ORMOŽ d.o.o.","15 01 01","ORMOŽ",89231,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE ORMOŽ d.o.o.","15 01 01","SREDIŠČE OB DRAVI",17846,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE ORMOŽ d.o.o.","15 01 01","SVETI TOMAŽ",11897,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE ORMOŽ d.o.o.","20 01 38","ORMOŽ",3700,"Wood, not specified in 20 01 37","PODRAVSKA"
"KOMUNALNO PODJETJE ORMOŽ d.o.o.","20 01 38","SREDIŠČE OB DRAVI",2460,"Wood, not specified in 20 01 37","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","15 01 01","GORIŠNICA",27012,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","15 01 01","HAJDINA",32280,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","15 01 01","JURŠINCI",17196,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","15 01 01","MARKOVCI",25637,"Paper/Cardboard Packaging","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","20 01 38","GORIŠNICA",65458,"Wood, not specified in 20 01 37","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","20 01 38","HAJDINA",56015,"Wood, not specified in 20 01 37","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","20 01 38","JURŠINCI",28265,"Wood, not specified in 20 01 37","PODRAVSKA"
"KOMUNALNO PODJETJE PTUJ D.D.","20 01 38","MARKOVCI",69502,"Wood, not specified in 20 01 37","PODRAVSKA"
"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","15 01 01","AJDOVŠČINA",181957,"Paper/Cardboard Packaging","GORIŠKA"
"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","15 01 01","VIPAVA",59348,"Paper/Cardboard Packaging","GORIŠKA"
"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","20 01 38","AJDOVŠČINA",101327,"Wood, not specified in 20 01 37","GORIŠKA"
"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","20 01 38","VIPAVA",22743,"Wood, not specified in 20 01 37","GORIŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","15 01 01","DIVAČA",33496,"Paper/Cardboard Packaging","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","15 01 01","HRPELJE-KOZINA",52515,"Paper/Cardboard Packaging","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","15 01 01","KOMEN",25172,"Paper/Cardboard Packaging","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","15 01 01","SEŽANA",146809,"Paper/Cardboard Packaging","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 01 38","DIVAČA",38015,"Wood, not specified in 20 01 37","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 01 38","HRPELJE-KOZINA",59600,"Wood, not specified in 20 01 37","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 01 38","KOMEN",28567,"Wood, not specified in 20 01 37","OBALNOKRAŠKA"
"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 01 38","SEŽANA",150898,"Wood, not specified in 20 01 37","OBALNOKRAŠKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","15 01 01","APAČE",77060,"Paper/Cardboard Packaging","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","15 01 01","KRIŽEVCI",10260,"Paper/Cardboard Packaging","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","15 01 01","LJUTOMER",34120,"Paper/Cardboard Packaging","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","15 01 01","RAZKRIŽJE",4810,"Paper/Cardboard Packaging","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","15 01 01","VERŽEJ",5150,"Paper/Cardboard Packaging","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 38","APAČE",160,"Wood, not specified in 20 01 37","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 38","KRIŽEVCI",14160,"Wood, not specified in 20 01 37","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 38","LJUTOMER",80260,"Wood, not specified in 20 01 37","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 38","RAZKRIŽJE",6130,"Wood, not specified in 20 01 37","POMURSKA"
"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 38","VERŽEJ",7180,"Wood, not specified in 20 01 37","POMURSKA"
"Kostak, komunalno in gradbeno podjetje, d.d.","15 01 01","KOSTANJEVICA NA KRKI",39060,"Paper/Cardboard Packaging","POSAVSKA"
"Kostak, komunalno in gradbeno podjetje, d.d.","15 01 01","KRŠKO",571040,"Paper/Cardboard Packaging","POSAVSKA"
"Kostak, komunalno in gradbeno podjetje, d.d.","20 01 38","KRŠKO",906103,"Wood, not specified in 20 01 37","POSAVSKA"
"KSP HRASTNIK Komunalno - stanovanjsko podjetje, d.d.","15 01 01","HRASTNIK",71890,"Paper/Cardboard Packaging","ZASAVSKA"
"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","15 01 01","ŠKOFJA LOKA",306136,"Paper/Cardboard Packaging","GORENJSKA"
"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","15 01 01","ŽELEZNIKI",53284,"Paper/Cardboard Packaging","GORENJSKA"
"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","15 01 03","ŠKOFJA LOKA",281910,"Wooden packaging","GORENJSKA"
"NATURA VePo družba za komunalne storitve d.o.o.","20 01 38","VELIKA POLANA",4280,"Wood, not specified in 20 01 37","POMURSKA"
"OBČINA BLOKE","15 01 01","BLOKE",8423,"Paper/Cardboard Packaging","PRIMORSKONOTRANJSKA"
"OBČINA BOHINJ","15 01 01","BOHINJ",50000,"Paper/Cardboard Packaging","GORENJSKA"
"OBČINA GORENJA VAS-POLJANE","15 01 01","GORENJA VAS-POLJANE",32814,"Paper/Cardboard Packaging","GORENJSKA"
"OBČINA GORENJA VAS-POLJANE","20 01 38","GORENJA VAS-POLJANE",78580,"Wood, not specified in 20 01 37","GORENJSKA"
"OBČINA ŽIRI","15 01 01","ŽIRI",29394,"Paper/Cardboard Packaging","GORENJSKA"
"OBČINA ŽIRI","20 01 38","ŽIRI",101660,"Wood, not specified in 20 01 37","GORENJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","BISTRICA OB SOTLI",6046,"Paper/Cardboard Packaging","POSAVSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","KOZJE",14772,"Paper/Cardboard Packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","PODČETRTEK",15883,"Paper/Cardboard Packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","ROGAŠKA SLATINA",52601,"Paper/Cardboard Packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","ROGATEC",10981,"Paper/Cardboard Packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","ŠMARJE PRI JELŠAH",63125,"Paper/Cardboard Packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","BISTRICA OB SOTLI",5,"Wooden packaging","POSAVSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","KOZJE",13,"Wooden packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","PODČETRTEK",14,"Wooden packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","ROGAŠKA SLATINA",45,"Wooden packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","ROGATEC",9,"Wooden packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","ŠMARJE PRI JELŠAH",54,"Wooden packaging","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","BISTRICA OB SOTLI",2266,"Wood, not specified in 20 01 37","POSAVSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","KOZJE",5535,"Wood, not specified in 20 01 37","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","PODČETRTEK",5952,"Wood, not specified in 20 01 37","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","ROGAŠKA SLATINA",19710,"Wood, not specified in 20 01 37","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","ROGATEC",4115,"Wood, not specified in 20 01 37","SAVINJSKA"
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","ŠMARJE PRI JELŠAH",23652,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 01","KAMNIK",209500,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 01","KOMENDA",82920,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 01","PIVKA",184640,"Paper/Cardboard Packaging","PRIMORSKONOTRANJSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 01","POSTOJNA",288240,"Paper/Cardboard Packaging","PRIMORSKONOTRANJSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 03","KOMENDA",73960,"Wooden packaging","OSREDNJESLOVENSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 03","PIVKA",4060,"Wooden packaging","PRIMORSKONOTRANJSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 03","POSTOJNA",2570,"Wooden packaging","PRIMORSKONOTRANJSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 01 38","KAMNIK",101480,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 01 38","KOMENDA",27820,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 01 38","PIVKA",109300,"Wood, not specified in 20 01 37","PRIMORSKONOTRANJSKA"
"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 01 38","POSTOJNA",168160,"Wood, not specified in 20 01 37","PRIMORSKONOTRANJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","GORNJI GRAD",7986,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","LJUBNO",3256,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","LUČE",1850,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","NAZARJE",9087,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","SOLČAVA",927,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","ŠMARTNO OB PAKI",21960,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","ŠOŠTANJ",46937,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","VELENJE",214497,"Paper/Cardboard Packaging","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","GORNJI GRAD",34913,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","LJUBNO",17130,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","LUČE",8841,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","NAZARJE",28066,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","SOLČAVA",4060,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","ŠMARTNO OB PAKI",68142,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","ŠOŠTANJ",174829,"Wood, not specified in 20 01 37","SAVINJSKA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","VELENJE",886841,"Wood, not specified in 20 01 37","SAVINJSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","BELTINCI",6965,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","CANKOVA",635,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","ČRENŠOVCI",4571,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","ČRENŠOVCI",144,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","DOBROVNIK",996,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","GORNJI PETROVCI",2720,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","GRAD",440,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","HODOŠ",777,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","KOBILJE",293,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","KUZMA",4380,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","LENDAVA",2560,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","LJUTOMER",900,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","MORAVSKE TOPLICE",8765,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","MURSKA SOBOTA",440,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","MURSKA SOBOTA",232490,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","NOVA GORICA",180,"Paper/Cardboard Packaging","GORIŠKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","ODRANCI",6683,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","PUCONCI",4645,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","ROGAŠOVCI",3560,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","ŠALOVCI",1684,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","TIŠINA",520,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","TURNIŠČE",4456,"Paper/Cardboard Packaging","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","BELTINCI",98580,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","CANKOVA",17356,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","ČRENŠOVCI",39220,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","DOBROVNIK",18980,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","GORNJI PETROVCI",3723,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","GRAD",17780,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","HODOŠ",2044,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","KOBILJE",5400,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","KUZMA",1004,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","MORAVSKE TOPLICE",16500,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","MURSKA SOBOTA",257580,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","ODRANCI",17900,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","ROGAŠOVCI",12260,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","ŠALOVCI",8953,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","TIŠINA",32400,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","TURNIŠČE",23780,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 01","KOPER",61987,"Paper/Cardboard Packaging","OBALNOKRAŠKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 01","KRANJ",22125,"Paper/Cardboard Packaging","GORENJSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 01","LJUBLJANA",452939,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 01","SEŽANA",8000,"Paper/Cardboard Packaging","OBALNOKRAŠKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","CELJE",38060,"Wooden packaging","SAVINJSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","GORNJA RADGONA",2860,"Wooden packaging","POMURSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","HOČE-SLIVNICA",18814,"Wooden packaging","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","IDRIJA",103500,"Wooden packaging","GORIŠKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","LENART",16320,"Wooden packaging","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","LJUBLJANA",460226,"Wooden packaging","OSREDNJESLOVENSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","MARIBOR",2220,"Wooden packaging","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","PTUJ",2760,"Wooden packaging","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","RADENCI",44880,"Wooden packaging","POMURSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","RUŠE",80,"Wooden packaging","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","ŠENTILJ",44660,"Wooden packaging","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","VELENJE",125100,"Wooden packaging","SAVINJSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","VRHNIKA",720,"Wooden packaging","OSREDNJESLOVENSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","BENEDIKT",3817,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","CERKVENJAK",40,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","HOČE-SLIVNICA",13886,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","LENART",132396,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","LJUBLJANA",8460,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","LOGATEC",46500,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","MARIBOR",460,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","PTUJ",35655,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","RADENCI",167411,"Wood, not specified in 20 01 37","POMURSKA"
