"year","statistical_region","name_of_municipality","number_of_households","number_of_households_composting","percentage_of_households_composting"
2021,"SAVINJSKA","VITANJE",831,843,101.44
2021,"OSREDNJESLOVENSKA","VODICE",1655,658,39.76
2021,"SAVINJSKA","VOJNIK",3274,6656,203.3
2021,"SAVINJSKA","VRANSKO",931,2006,215.47
2021,"OSREDNJESLOVENSKA","VRHNIKA",6163,2451,39.77
2021,"KOROŠKA","VUZENICA",1057,715,67.64
2021,"ZASAVSKA","ZAGORJE OB SAVI",6411,2771,43.22
2021,"SAVINJSKA","ZREČE",2497,2396,95.96
2021,"SAVINJSKA","ŽALEC",8570,11435,133.43
2021,"GORENJSKA","ŽELEZNIKI",2072,1450,69.98
2021,"GORENJSKA","ŽIRI",1686,1250,74.14
2021,"GORENJSKA","ŽIROVNICA",1611,1410,87.52
2021,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK",1628,1398,85.87
