"year","name_of_municipality","type_of_waste","waste_by_municipality","statistical_region"
2021,"ŠMARTNO OB PAKI","Paper/Cardboard Packaging",37.71,"SAVINJSKA"
2021,"ŠMARTNO OB PAKI","Wood, not specified in 20 01 37",33.337,"SAVINJSKA"
2021,"ŠMARTNO PRI LITIJI","Paper/Cardboard Packaging",153.381,"OSREDNJESLOVENSKA"
2021,"ŠMARTNO PRI LITIJI","Wood, not specified in 20 01 37",108.77,"OSREDNJESLOVENSKA"
2021,"ŠOŠTANJ","Paper/Cardboard Packaging",166.459,"SAVINJSKA"
2021,"ŠOŠTANJ","Wood, not specified in 20 01 37",128.422,"SAVINJSKA"
2021,"ŠOŠTANJ","Wooden packaging",61.62,"SAVINJSKA"
2021,"ŠTORE","Paper/Cardboard Packaging",20.81,"SAVINJSKA"
2021,"ŠTORE","Wood, not specified in 20 01 37",1.567,"SAVINJSKA"
2021,"ŠTORE","Wooden packaging",13.7,"SAVINJSKA"
2021,"ŽALEC","Paper/Cardboard Packaging",158.732,"SAVINJSKA"
2021,"ŽALEC","Wood, not specified in 20 01 37",548.494,"SAVINJSKA"
2021,"ŽALEC","Wooden packaging",43.86,"SAVINJSKA"
2021,"ŽELEZNIKI","Paper/Cardboard Packaging",51.943,"GORENJSKA"
2021,"ŽETALE","Paper/Cardboard Packaging",6.283,"PODRAVSKA"
2021,"ŽETALE","Wood, not specified in 20 01 37",7.946,"PODRAVSKA"
2021,"ŽETALE","Wooden packaging",0.308,"PODRAVSKA"
2021,"ŽIRI","Paper/Cardboard Packaging",5.614,"GORENJSKA"
2021,"ŽIROVNICA","Paper/Cardboard Packaging",44.93,"GORENJSKA"
2021,"ŽIROVNICA","Wood, not specified in 20 01 37",185.05,"GORENJSKA"
2021,"ŽUŽEMBERK","Paper/Cardboard Packaging",34.13,"JUGOVZHODNA SLOVENIJA"
2021,"ŽUŽEMBERK","Wood, not specified in 20 01 37",110.415,"JUGOVZHODNA SLOVENIJA"
