year,statistical_region,type_of_waste,total_waste_collected,waste_from_producers_no_record,waste_from_producers_with_record,waste_from_collectors_RS,waste_from_processors_RS
2017,JUGOVZHODNA SLOVENIJA,Other Wood Waste,1385.316,1240.056,144.14,0,1.12
2017,JUGOVZHODNA SLOVENIJA,Wooden Packaging,84.324,26.604,16.95,0,40.77
2017,KOROŠKA,Paper/Cardboard Packaging,1099.623,211.637,613.228,0,274.758
2017,KOROŠKA,Wood,16,0,16,0,0
2017,KOROŠKA,Wooden Packaging,516.88,0,495.674,21.206,0
2017,OBALNO-KRAŠKA,Paper/Cardboard Packaging,1544.866,1344.119,200.747,0,0
2017,OBALNO-KRAŠKA,Sawdust and Wood Cuttings,1881.2,0,1881.2,0,0
2017,OBALNO-KRAŠKA,Other Wood Waste,3625.7,3603.389,22.311,0,0
2017,OBALNO-KRAŠKA,Wooden Packaging,509.92,13.12,383.563,113.237,0
2017,OSREDNJESLOVENSKA,Paper/Cardboard Packaging,29773.93,4032.83,16476.071,3726.67,5538.359
2017,OSREDNJESLOVENSKA,Wood,47.598,29.76,17.838,0,0
2017,OSREDNJESLOVENSKA,Other Wood Waste,7557.811000000001,7117.421,282.26,158.13,0
2017,OSREDNJESLOVENSKA,Wooden Packaging,5943.823,640.339,4285.014,136.57,881.9
2017,PODRAVSKA,Paper/Cardboard Packaging,2449.819,1663.131,786.688,0,0
2017,PODRAVSKA,Sawdust and Wood Cuttings,8.22,0,8.22,0,0
2017,PODRAVSKA,Wood,286.59,0,286.59,0,0
2017,PODRAVSKA,Other Wood Waste,5948.1089999999995,5537.022,390.417,20.67,0
2017,PODRAVSKA,Wooden Packaging,1221.074,30.48,1190.594,0,0
2017,POMURSKA,Paper/Cardboard Packaging,619.317,477.137,99.552,42.628,0
2017,POMURSKA,Wood,74.3,0,74.3,0,0
2017,POMURSKA,Other Wood Waste,405.92,403.58,2.34,0,0
2017,POMURSKA,Wooden Packaging,12.816,0,12.816,0,0
2017,POSAVSKA,Paper/Cardboard Packaging,1050.566,716.075,315.671,18.82,0
2017,POSAVSKA,Sawdust and Wood Cuttings,119.63,0,119.63,0,0
2017,POSAVSKA,Other Wood Waste,596.66,516.4,80.26,0,0
2017,POSAVSKA,Wooden Packaging,275.375,113.38,161.995,0,0
2017,PRIMORSKO-NOTRANJSKA,Paper/Cardboard Packaging,608.375,234.93,373.445,0,0
2017,PRIMORSKO-NOTRANJSKA,Other Wood Waste,460.52,421.82,38.7,0,0
