year,statistical_region,type_of_waste,total_waste_collected,waste_from_producers_no_record,waste_from_producers_with_record,waste_from_collectors_RS,waste_from_processors_RS
2022,OBALNO-KRAŠKA,Wooden Packaging,1642.86,0,1642.86,0,0
2022,OBALNO-KRAŠKA,Other Wood Waste,3888.73,3888.73,0,0,0
2022,OSREDNJESLOVENSKA,Sawdust and Wood Cuttings,1.1,0,1.1,0,0
2022,OSREDNJESLOVENSKA,Paper/Cardboard Packaging,12736.61,4815.079,7051.328,360.638,509.565
2022,OSREDNJESLOVENSKA,Wooden Packaging,3306.766,315.7,2945.126,21.82,24.12
2022,OSREDNJESLOVENSKA,Wood,615.312,0,615.312,0,0
2022,OSREDNJESLOVENSKA,Other Wood Waste,11955.865,11838.076,117.789,0,0
2022,PODRAVSKA,Sawdust and Wood Cuttings,113.24,0,113.24,0,0
2022,PODRAVSKA,Paper/Cardboard Packaging,2335.226,2061.762,140.167,133.297,0
2022,PODRAVSKA,Wooden Packaging,1014.487,380.831,485.846,147.81,0
2022,PODRAVSKA,Wood,296.355,0,240.47,55.885,0
2022,PODRAVSKA,Other Wood Waste,10245.137,9350.739,497.245,397.153,0
2022,POMURSKA,Paper/Cardboard Packaging,1120.656,609.997,510.659,0,0
2022,POMURSKA,Wooden Packaging,156.019,0,156.019,0,0
2022,POMURSKA,Wood,129.62,0,129.62,0,0
2022,POMURSKA,Other Wood Waste,1038.74,905.78,7.16,125.8,0
2022,POSAVSKA,Sawdust and Wood Cuttings,33.64,0,33.64,0,0
2022,POSAVSKA,Paper/Cardboard Packaging,1442.783,542.05,767.237,133.496,0
2022,POSAVSKA,Wooden Packaging,185.115,5.79,177.085,2.24,0
2022,POSAVSKA,Other Wood Waste,2428.25,1879.61,441.816,106.824,0
2022,PRIMORSKO-NOTRANJSKA,Bark and Cork Waste,2.46,0,2.46,0,0
2022,PRIMORSKO-NOTRANJSKA,Paper/Cardboard Packaging,509.21,382.632,126.578,0,0
2022,PRIMORSKO-NOTRANJSKA,Wooden Packaging,12.19,2.87,9.32,0,0
2022,PRIMORSKO-NOTRANJSKA,Wood,4.74,4.74,0,0,0
2022,PRIMORSKO-NOTRANJSKA,Other Wood Waste,1464.7,1407.72,56.98,0,0
2022,SAVINJSKA,Sawdust and Wood Cuttings,87.54,0,87.54,0,0
2022,SAVINJSKA,Paper/Cardboard Packaging,5864.705,1805.265,4059.44,0,0
2022,SAVINJSKA,Wooden Packaging,3707.69,2.92,3508.05,196.72,0
2022,SAVINJSKA,Wood,783.925,0,783.925,0,0
2022,SAVINJSKA,Other Wood Waste,4094.87,4094.87,0,0,0
2022,ZASAVSKA,Paper/Cardboard Packaging,1246.445,480.252,621.907,144.286,0
2022,ZASAVSKA,Wooden Packaging,231.263,0,231.263,0,0
2022,ZASAVSKA,Other Wood Waste,1045.77,1042.75,3.02,0,0
