"Leto","Poročilo","Proizveden kompost/digestat","Kakovostni razred","Proizvedena količina kg","Količina oddana v nadaljnje ravnanje ali dana na trg kg","Vrsta uporabe"
2024,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",25698363,25877730,"1 – vnos v ali na tla na kmetijskih zemljiščih"
2024,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",16411649,13700128,"2 – vnos v ali na tla na nekmetijskih zemljiščih"
2024,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",2950000,2895520,"3 – za pripravo substrata"
2024,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",1564270,0,NA
2024,"ODP-obdelava","2 –  digestat (proizvod)","1 – 1. kakovostni razred",133149888,132883003,"1 – vnos v ali na tla na kmetijskih zemljiščih"
2024,"ODP-obdelava","3 –  19 05 03 (kompost)","1 – 1. kakovostni razred",851000,770480,"2 – vnos v ali na tla na nekmetijskih zemljiščih"
2024,"ODP-obdelava","3 –  19 05 03 (kompost)","2 – 2. kakovostni razred",597764,2168224,"2 – vnos v ali na tla na nekmetijskih zemljiščih"
2024,"ODP-obdelava","3 –  19 05 03 (kompost)","2 – 2. kakovostni razred",228540,0,NA
2024,"ODP-obdelava","3 –  19 05 03 (kompost)","3 – ne ustreza specifikaciji",1774800,1794120,"4 – v nadaljnjo obdelavo odpadkov"
2024,"ODP-obdelava","5 –  19 06 06 (digestat iz anaerobne obdelave živalskih in rastlinskih odpadkov)","3 – ne ustreza specifikaciji",461409,304529,"4 – v nadaljnjo obdelavo odpadkov"
