"Leto","Poročilo","Odlagališče","Zapolnjen volumen na odlagalnem polju na začetku leta m3","Zapolnjena površina na odlagalnem polju na začetku leta m2","Volumen proste kapacitete odlagalnega polja na koncu leta m3","Površina proste kapacitete odlagalnega polja na koncu leta m2","Celotna zmogljivost odlaganja t","Preostala zmogljivost na dan 1.1. t","Preostala zmogljivost na dan 31.12. t"
2024,"ODP-obdelava","VRHE",106933,1550,105211,1600,682375,166569,163874
2024,"ODP-obdelava","UNIČNO - novo",33720,0,23976,9892,103600,48428,33879
2024,"ODP-obdelava","LESKOVEC - novo",684801,38791,590085,18219,1355000,617597,586412
2024,"ODP-obdelava","PUCONCI - novo",52419,16972,151574,16972,188510,112180,105090
2024,"ODP-obdelava","CERO GAJKE",174135,26800,174135,26800,456114,216760,216760
2024,"ODP-obdelava","NOMO MEŽICA",10584,440,6638,2480,25818,17511,14431
2024,"ODP-obdelava","DESKLE",59100,12698,0,0,118200,15,15
2024,"ODP-obdelava","BARJE (polji IV in V)",1742464,126155,151682,0,2374443,199365,188950
2024,"ODP-obdelava","PRAGERSKO",72517,13550,35805,13550,136500,61858,57750
2024,"ODP-obdelava","ŠPAJA DOLINA",483,25413,184099,23130,336000,335730,328308
2024,"ODP-obdelava","GLOBOKO",48744,18649,36737,18649,139343,56194,48129
2024,"ODP-obdelava","SUHI MOST",18800,780,5300,450,35000,920,920
2024,"ODP-obdelava","NOVAKI",67685,4300,47932,9000,213000,77450,77423
2024,"ODP-obdelava","RCERO CELJE (Bukovžlak)",2490291,67665,1017285,111456,3723000,1247166,1187167
2024,"ODP-obdelava","MALA MEŽAKLA",625761,33795,30775,13111,710812,74450,62496
2024,"ODP-obdelava","ZMES",48890,8400,52970,3700,113700,68593,61900
2024,"ODP-obdelava","HALDA TDR",22994,5000,3200,2030,49000,10300,5301
2024,"ODP-obdelava","TUNCOVEC - novo",7815,3120,7776,1011,29808,20640,10107
