"Leto","Poročilo","Kompost/digestat","Kakovostni razred","Vnešena količina v ali na tla m3","Raba zemljišča"
2024,"ODP-obdelava","1 – 19 05 03 (Kompost)","1 – 1. kakovostni razred",733500,"6 – nekmetijsko zemljišče: odlagališče odpadkov"
2024,"ODP-obdelava","1 – 19 05 03 (Kompost)","2 – 2. kakovostni razred",680,"4 – nekmetijsko zemljišče: park, zelenica ali površina za šport, rekreacijo ali prosti čas"
2024,"ODP-obdelava","1 – 19 05 03 (Kompost)","2 – 2. kakovostni razred",796764,"6 – nekmetijsko zemljišče: odlagališče odpadkov"
