"year","statistical_region","treatment_inlet_waste_code","type_of_waste_inlet","waste_category","treatment_outlet_waste_code","type_of_waste_outlet","waste_category_1","substance_or_object","quantity_stored_start_year"
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",70.3
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","undefined",3637.282
2024,"GORENJSKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","03 – kovine: železo in jeklo",5.366
2024,"GORENJSKA","17 03 02","Non-Hazardous Bituminous Mixtures (17 03 02)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",5
2024,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",227.485
2024,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 10 06","Other Fractions from Shredding (19 10 06)","Waste Treatment Residues","undefined",8.254
2024,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",33.757
2024,"GORENJSKA","20 02 03","Non-biodegradable Garden and Park Waste (20 02 03)","Municipal Waste","undefined","undefined","Other Waste","08 – plastika",65
2024,"GORENJSKA","20 02 03","Non-biodegradable Garden and Park Waste (20 02 03)","Municipal Waste","undefined","undefined","Other Waste","99 - other",15
2024,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","undefined",441.53
