"Leto","Poročilo","Šifra občine 1","Naziv občine","V mehansko-biološko obdelavo prevzeti mešani komunalni odpadki (kg)"
2024,"ODP-obdelava",1,"AJDOVŠČINA",2809949
2024,"ODP-obdelava",2,"BELTINCI",1830620
2024,"ODP-obdelava",3,"BLED",1234270
2024,"ODP-obdelava",4,"BOHINJ",1045980
2024,"ODP-obdelava",5,"BOROVNICA",256707
2024,"ODP-obdelava",8,"BREZOVICA",1263260
2024,"ODP-obdelava",9,"BREŽICE",3374740
2024,"ODP-obdelava",10,"TIŠINA",545260
2024,"ODP-obdelava",11,"CELJE",9083251
2024,"ODP-obdelava",12,"CERKLJE NA GORENJSKEM",1229640
2024,"ODP-obdelava",13,"CERKNICA",1407020
2024,"ODP-obdelava",14,"CERKNO",387345
2024,"ODP-obdelava",15,"ČRENŠOVCI",305220
2024,"ODP-obdelava",16,"ČRNA NA KOROŠKEM",364982
2024,"ODP-obdelava",17,"ČRNOMELJ",2210675
2024,"ODP-obdelava",18,"DESTRNIK",101007
2024,"ODP-obdelava",20,"DOBREPOLJE",350304
2024,"ODP-obdelava",21,"DOBROVA-POLHOV GRADEC",794013
2024,"ODP-obdelava",22,"DOL PRI LJUBLJANI",576070
2024,"ODP-obdelava",23,"DOMŽALE",4577142
2024,"ODP-obdelava",24,"DORNAVA",318054
2024,"ODP-obdelava",25,"DRAVOGRAD",963400
2024,"ODP-obdelava",26,"DUPLEK",291858
2024,"ODP-obdelava",27,"GORENJA VAS-POLJANE",286300
2024,"ODP-obdelava",28,"GORIŠNICA",85327
2024,"ODP-obdelava",29,"GORNJA RADGONA",1132060
2024,"ODP-obdelava",30,"GORNJI GRAD",272048
2024,"ODP-obdelava",31,"GORNJI PETROVCI",156640
2024,"ODP-obdelava",32,"GROSUPLJE",2200691
2024,"ODP-obdelava",33,"ŠALOVCI",124580
2024,"ODP-obdelava",34,"HRASTNIK",7227668
2024,"ODP-obdelava",36,"IDRIJA",1146695
2024,"ODP-obdelava",37,"IG",689440
2024,"ODP-obdelava",38,"ILIRSKA BISTRICA",1443910
2024,"ODP-obdelava",39,"IVANČNA GORICA",1525245
2024,"ODP-obdelava",40,"IZOLA",3639080
2024,"ODP-obdelava",41,"JESENICE",3560610
2024,"ODP-obdelava",42,"JURŠINCI",60764
2024,"ODP-obdelava",43,"KAMNIK",3277800
2024,"ODP-obdelava",45,"KIDRIČEVO",346105
2024,"ODP-obdelava",47,"KOBILJE",43400
2024,"ODP-obdelava",48,"KOČEVJE",1756180
2024,"ODP-obdelava",50,"KOPER",13149120
2024,"ODP-obdelava",51,"KOZJE",247572
2024,"ODP-obdelava",52,"KRANJ",6488280
2024,"ODP-obdelava",53,"KRANJSKA GORA",1182052
2024,"ODP-obdelava",54,"KRŠKO",3070740
2024,"ODP-obdelava",55,"KUNGOTA",508075
2024,"ODP-obdelava",56,"KUZMA",139420
2024,"ODP-obdelava",57,"LAŠKO",2133220
2024,"ODP-obdelava",58,"LENART",1143003
2024,"ODP-obdelava",59,"LENDAVA",1617050
2024,"ODP-obdelava",60,"LITIJA",468584
2024,"ODP-obdelava",61,"LJUBLJANA",43394490
2024,"ODP-obdelava",62,"LJUBNO",211275
2024,"ODP-obdelava",63,"LJUTOMER",1462360
2024,"ODP-obdelava",64,"LOGATEC",2370090
2024,"ODP-obdelava",65,"LOŠKA DOLINA",351760
2024,"ODP-obdelava",66,"LOŠKI POTOK",142510
2024,"ODP-obdelava",67,"LUČE",115404
2024,"ODP-obdelava",68,"LUKOVICA",644048
2024,"ODP-obdelava",69,"MAJŠPERK",156891
2024,"ODP-obdelava",70,"MARIBOR",18915309
2024,"ODP-obdelava",71,"MEDVODE",1982436
2024,"ODP-obdelava",72,"MENGEŠ",1015274
2024,"ODP-obdelava",73,"METLIKA",1555084
2024,"ODP-obdelava",74,"MEŽICA",406714
2024,"ODP-obdelava",76,"MISLINJA",574959
2024,"ODP-obdelava",77,"MORAVČE",557948
2024,"ODP-obdelava",78,"MORAVSKE TOPLICE",808740
2024,"ODP-obdelava",79,"MOZIRJE",699880
2024,"ODP-obdelava",80,"MURSKA SOBOTA",3868390
2024,"ODP-obdelava",81,"MUTA",487426
2024,"ODP-obdelava",82,"NAKLO",549680
2024,"ODP-obdelava",83,"NAZARJE",264046
2024,"ODP-obdelava",84,"NOVA GORICA",9933620
2024,"ODP-obdelava",85,"NOVO MESTO",6887771
2024,"ODP-obdelava",86,"ODRANCI",143760
2024,"ODP-obdelava",87,"ORMOŽ",1156620
2024,"ODP-obdelava",88,"OSILNICA",20980
2024,"ODP-obdelava",89,"PESNICA",879384
2024,"ODP-obdelava",90,"PIRAN",4296360
2024,"ODP-obdelava",91,"PIVKA",507020
2024,"ODP-obdelava",92,"PODČETRTEK",420984
2024,"ODP-obdelava",93,"PODVELKA",334836
2024,"ODP-obdelava",94,"POSTOJNA",2168020
2024,"ODP-obdelava",95,"PREDDVOR",390093
2024,"ODP-obdelava",96,"PTUJ",2726677
2024,"ODP-obdelava",97,"PUCONCI",562250
2024,"ODP-obdelava",98,"RAČE-FRAM",800032
2024,"ODP-obdelava",99,"RADEČE",130216
2024,"ODP-obdelava",100,"RADENCI",496180
2024,"ODP-obdelava",101,"RADLJE OB DRAVI",885591
2024,"ODP-obdelava",102,"RADOVLJICA",2579460
2024,"ODP-obdelava",103,"RAVNE NA KOROŠKEM",1280232
2024,"ODP-obdelava",104,"RIBNICA",989440
2024,"ODP-obdelava",105,"ROGAŠOVCI",236400
2024,"ODP-obdelava",106,"ROGAŠKA SLATINA",1063307
2024,"ODP-obdelava",107,"ROGATEC",221273
2024,"ODP-obdelava",108,"RUŠE",861515
2024,"ODP-obdelava",109,"SEMIČ",607121
2024,"ODP-obdelava",110,"SEVNICA",2725160
2024,"ODP-obdelava",111,"SEŽANA",2843710
2024,"ODP-obdelava",112,"SLOVENJ GRADEC",2120701
2024,"ODP-obdelava",113,"SLOVENSKA BISTRICA",3092588
2024,"ODP-obdelava",114,"SLOVENSKE KONJICE",1263140
2024,"ODP-obdelava",115,"STARŠE",472041
2024,"ODP-obdelava",116,"SVETI JURIJ OB ŠČAVNICI",219626
2024,"ODP-obdelava",117,"ŠENČUR",995135
2024,"ODP-obdelava",118,"ŠENTILJ",101160
2024,"ODP-obdelava",119,"ŠENTJERNEJ",66664
2024,"ODP-obdelava",120,"ŠENTJUR",2016377
2024,"ODP-obdelava",121,"ŠKOCJAN",498864
2024,"ODP-obdelava",122,"ŠKOFJA LOKA",2326920
2024,"ODP-obdelava",123,"ŠKOFLJICA",936500
2024,"ODP-obdelava",124,"ŠMARJE PRI JELŠAH",958836
2024,"ODP-obdelava",125,"ŠMARTNO OB PAKI",325143
2024,"ODP-obdelava",126,"ŠOŠTANJ",987976
2024,"ODP-obdelava",127,"ŠTORE",956841
2024,"ODP-obdelava",128,"TOLMIN",1381550
2024,"ODP-obdelava",129,"TRBOVLJE",675731
2024,"ODP-obdelava",130,"TREBNJE",1065649
2024,"ODP-obdelava",131,"TRŽIČ",1545240
2024,"ODP-obdelava",132,"TURNIŠČE",275320
2024,"ODP-obdelava",133,"VELENJE",4234667
2024,"ODP-obdelava",134,"VELIKE LAŠČE",541220
2024,"ODP-obdelava",135,"VIDEM",219890
2024,"ODP-obdelava",136,"VIPAVA",815791
2024,"ODP-obdelava",137,"VITANJE",208419
2024,"ODP-obdelava",138,"VODICE",425553
2024,"ODP-obdelava",139,"VOJNIK",978028
2024,"ODP-obdelava",140,"VRHNIKA",1208032
2024,"ODP-obdelava",141,"VUZENICA",379969
2024,"ODP-obdelava",142,"ZAGORJE OB SAVI",705671
2024,"ODP-obdelava",143,"ZAVRČ",40641
2024,"ODP-obdelava",144,"ZREČE",539879
2024,"ODP-obdelava",146,"ŽELEZNIKI",408820
2024,"ODP-obdelava",147,"ŽIRI",495200
2024,"ODP-obdelava",148,"BENEDIKT",202357
2024,"ODP-obdelava",149,"BISTRICA OB SOTLI",92908
2024,"ODP-obdelava",150,"BLOKE",122150
2024,"ODP-obdelava",151,"BRASLOVČE",511657
2024,"ODP-obdelava",152,"CANKOVA",158950
2024,"ODP-obdelava",153,"CERKVENJAK",153230
2024,"ODP-obdelava",154,"DOBJE",81668
2024,"ODP-obdelava",155,"DOBRNA",304541
2024,"ODP-obdelava",156,"DOBROVNIK",117380
2024,"ODP-obdelava",157,"DOLENJSKE TOPLICE",563980
2024,"ODP-obdelava",158,"GRAD",133550
2024,"ODP-obdelava",159,"HAJDINA",90473
2024,"ODP-obdelava",160,"HOČE-SLIVNICA",1615447
2024,"ODP-obdelava",161,"HODOŠ",47860
2024,"ODP-obdelava",162,"HORJUL",294808
2024,"ODP-obdelava",163,"JEZERSKO",87572
2024,"ODP-obdelava",164,"KOMENDA",782170
2024,"ODP-obdelava",166,"KRIŽEVCI",504600
2024,"ODP-obdelava",167,"LOVRENC NA POHORJU",330891
2024,"ODP-obdelava",168,"MARKOVCI",88184
2024,"ODP-obdelava",169,"MIKLAVŽ NA DRAVSKEM POLJU",659846
2024,"ODP-obdelava",170,"MIRNA PEČ",407649
2024,"ODP-obdelava",171,"OPLOTNICA",292532
2024,"ODP-obdelava",172,"PODLEHNIK",86985
2024,"ODP-obdelava",173,"POLZELA",731768
2024,"ODP-obdelava",174,"PREBOLD",504589
2024,"ODP-obdelava",175,"PREVALJE",767592
2024,"ODP-obdelava",176,"RAZKRIŽJE",130970
2024,"ODP-obdelava",177,"RIBNICA NA POHORJU",163478
2024,"ODP-obdelava",178,"SELNICA OB DRAVI",453854
2024,"ODP-obdelava",179,"SODRAŽICA",189000
2024,"ODP-obdelava",180,"SOLČAVA",65641
2024,"ODP-obdelava",181,"SVETA ANA",162574
2024,"ODP-obdelava",182,"SVETI ANDRAŽ V SLOV. GORICAH",51190
2024,"ODP-obdelava",183,"ŠEMPETER-VRTOJBA",1488100
2024,"ODP-obdelava",184,"TABOR",139583
2024,"ODP-obdelava",185,"TRNOVSKA VAS",51295
2024,"ODP-obdelava",186,"TRZIN",827768
2024,"ODP-obdelava",187,"VELIKA POLANA",182480
2024,"ODP-obdelava",188,"VERŽEJ",233950
2024,"ODP-obdelava",189,"VRANSKO",338754
2024,"ODP-obdelava",190,"ŽALEC",3060256
2024,"ODP-obdelava",191,"ŽETALE",40846
2024,"ODP-obdelava",192,"ŽIROVNICA",510490
2024,"ODP-obdelava",193,"ŽUŽEMBERK",760703
2024,"ODP-obdelava",194,"ŠMARTNO PRI LITIJI",366140
2024,"ODP-obdelava",195,"APAČE",334720
2024,"ODP-obdelava",196,"CIRKULANE",88093
2024,"ODP-obdelava",198,"MAKOLE",115619
2024,"ODP-obdelava",199,"MOKRONOG-TREBELNO",314665
2024,"ODP-obdelava",200,"POLJČANE",416943
2024,"ODP-obdelava",202,"SREDIŠČE OB DRAVI",165100
