"year","landfill","waste_code","type_of_waste","waste_category","total_waste_received","waste_without_waste_code","waste_disposed_on_landfill","hazardous_waste_disposed_on_landfill","non_hazardous_waste_disposed_on_landfill","inert_waste_disposed_on_landfill","construction_waste_disposed_on_landfill","landfill_covering_waste_disposed_on_landfill"
2024,"GLOBOKO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",958.32,0,958.32,0,958.32,0,0,0
2024,"LESKOVEC - novo","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",15078.13,0,15078.13,0,15078.13,0,0,0
2024,"MALA MEŽAKLA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2424.5,0,2424.5,0,2424.5,0,0,0
2024,"PUCONCI - novo","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",992.84,0,992.84,0,992.84,0,0,0
2024,"RCERO CELJE (Bukovžlak)","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0.26,0,0.26,0,0.26,0,0,0
2024,"RCERO CELJE (Bukovžlak)","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",7.116,0,7.116,0,7.116,0,0,0
2024,"ŠPAJA DOLINA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1990.52,663.97,1990.52,0,1990.52,0,0,0
